EventTime,EventType,Event
,AGENT_TYPE,ExchangeAgent
2020-01-13 00:00:00.000002456,WHEN_MKT_OPEN,5027
2020-01-13 00:00:00.000002456,WHEN_MKT_CLOSE,5027
2020-01-13 00:00:00.000002815,WHEN_MKT_OPEN,3885
2020-01-13 00:00:00.000002815,WHEN_MKT_CLOSE,3885
2020-01-13 00:00:00.000004476,WHEN_MKT_OPEN,4719
2020-01-13 00:00:00.000004476,WHEN_MKT_CLOSE,4719
2020-01-13 00:00:00.000004940,WHEN_MKT_OPEN,5078
2020-01-13 00:00:00.000004940,WHEN_MKT_CLOSE,5078
2020-01-13 00:00:00.000005493,WHEN_MKT_OPEN,3119
2020-01-13 00:00:00.000005493,WHEN_MKT_CLOSE,3119
2020-01-13 00:00:00.000006155,WHEN_MKT_OPEN,731
2020-01-13 00:00:00.000006155,WHEN_MKT_CLOSE,731
2020-01-13 00:00:00.000007830,WHEN_MKT_OPEN,868
2020-01-13 00:00:00.000007830,WHEN_MKT_CLOSE,868
2020-01-13 00:00:00.000011480,WHEN_MKT_OPEN,1288
2020-01-13 00:00:00.000011480,WHEN_MKT_CLOSE,1288
2020-01-13 00:00:00.000015351,WHEN_MKT_OPEN,1436
2020-01-13 00:00:00.000015351,WHEN_MKT_CLOSE,1436
2020-01-13 00:00:00.000015939,WHEN_MKT_OPEN,567
2020-01-13 00:00:00.000015939,WHEN_MKT_CLOSE,567
2020-01-13 00:00:00.000017735,WHEN_MKT_OPEN,2923
2020-01-13 00:00:00.000017735,WHEN_MKT_CLOSE,2923
2020-01-13 00:00:00.000018140,WHEN_MKT_OPEN,2472
2020-01-13 00:00:00.000018140,WHEN_MKT_CLOSE,2472
2020-01-13 00:00:00.000019627,WHEN_MKT_OPEN,4599
2020-01-13 00:00:00.000019627,WHEN_MKT_CLOSE,4599
2020-01-13 00:00:00.000020704,WHEN_MKT_OPEN,3929
2020-01-13 00:00:00.000020704,WHEN_MKT_CLOSE,3929
2020-01-13 00:00:00.000022264,WHEN_MKT_OPEN,1174
2020-01-13 00:00:00.000022264,WHEN_MKT_CLOSE,1174
2020-01-13 00:00:00.000026124,WHEN_MKT_OPEN,3702
2020-01-13 00:00:00.000026124,WHEN_MKT_CLOSE,3702
2020-01-13 00:00:00.000028782,WHEN_MKT_OPEN,2417
2020-01-13 00:00:00.000028782,WHEN_MKT_CLOSE,2417
2020-01-13 00:00:00.000029566,WHEN_MKT_OPEN,2916
2020-01-13 00:00:00.000029566,WHEN_MKT_CLOSE,2916
2020-01-13 00:00:00.000031712,WHEN_MKT_OPEN,102
2020-01-13 00:00:00.000031712,WHEN_MKT_CLOSE,102
2020-01-13 00:00:00.000032340,WHEN_MKT_OPEN,1268
2020-01-13 00:00:00.000032340,WHEN_MKT_CLOSE,1268
2020-01-13 00:00:00.000032363,WHEN_MKT_OPEN,4176
2020-01-13 00:00:00.000032363,WHEN_MKT_CLOSE,4176
2020-01-13 00:00:00.000032443,WHEN_MKT_OPEN,979
2020-01-13 00:00:00.000032443,WHEN_MKT_CLOSE,979
2020-01-13 00:00:00.000032466,WHEN_MKT_OPEN,3046
2020-01-13 00:00:00.000032466,WHEN_MKT_CLOSE,3046
2020-01-13 00:00:00.000032766,WHEN_MKT_OPEN,552
2020-01-13 00:00:00.000032766,WHEN_MKT_CLOSE,552
2020-01-13 00:00:00.000035285,WHEN_MKT_OPEN,1765
2020-01-13 00:00:00.000035285,WHEN_MKT_CLOSE,1765
2020-01-13 00:00:00.000035716,WHEN_MKT_OPEN,490
2020-01-13 00:00:00.000035716,WHEN_MKT_CLOSE,490
2020-01-13 00:00:00.000036516,WHEN_MKT_OPEN,815
2020-01-13 00:00:00.000036516,WHEN_MKT_CLOSE,815
2020-01-13 00:00:00.000036695,WHEN_MKT_OPEN,971
2020-01-13 00:00:00.000036695,WHEN_MKT_CLOSE,971
2020-01-13 00:00:00.000036897,WHEN_MKT_OPEN,414
2020-01-13 00:00:00.000036897,WHEN_MKT_CLOSE,414
2020-01-13 00:00:00.000037960,WHEN_MKT_OPEN,2693
2020-01-13 00:00:00.000037960,WHEN_MKT_CLOSE,2693
2020-01-13 00:00:00.000039816,WHEN_MKT_OPEN,1343
2020-01-13 00:00:00.000039816,WHEN_MKT_CLOSE,1343
2020-01-13 00:00:00.000040299,WHEN_MKT_OPEN,4254
2020-01-13 00:00:00.000040299,WHEN_MKT_CLOSE,4254
2020-01-13 00:00:00.000040439,WHEN_MKT_OPEN,171
