time,price_dollars,side,qty
2020-01-13 09:30:00.000007378,997.91,ASK,28
2020-01-13 09:30:00.002269776,997.91,BID,2389
2020-01-13 09:30:00.002269776,999.45,ASK,38
2020-01-13 09:30:00.002269776,1000.18,ASK,47
2020-01-13 09:30:00.002269776,1000.66,ASK,22
2020-01-13 09:30:00.002269776,1000.8,ASK,49
2020-01-13 09:30:00.003254528,997.24,BID,42
2020-01-13 09:30:00.003254528,997.75,BID,20
2020-01-13 09:30:00.003254528,997.86,BID,39
2020-01-13 09:30:00.003254528,997.91,BID,2280
2020-01-13 09:30:00.003254528,998.59,BID,245
2020-01-13 09:30:00.003254528,999.45,ASK,38
2020-01-13 09:30:00.003254528,1000.18,ASK,47
2020-01-13 09:30:00.003254528,1000.66,ASK,22
2020-01-13 09:30:00.003254528,1000.8,ASK,49
2020-01-13 09:30:00.004390984,997.24,BID,42
2020-01-13 09:30:00.004390984,997.25,BID,21
2020-01-13 09:30:00.004390984,997.44,BID,26
2020-01-13 09:30:00.004390984,997.75,BID,20
2020-01-13 09:30:00.004390984,997.86,BID,39
2020-01-13 09:30:00.004390984,997.89,BID,28
2020-01-13 09:30:00.004390984,997.91,BID,2280
2020-01-13 09:30:00.004390984,998.52,BID,46
2020-01-13 09:30:00.004390984,998.59,BID,552
2020-01-13 09:30:00.004390984,999.45,ASK,38
2020-01-13 09:30:00.004390984,1000.18,ASK,47
2020-01-13 09:30:00.004390984,1000.66,ASK,22
2020-01-13 09:30:00.004390984,1000.8,ASK,49
2020-01-13 09:30:00.005505925,997.24,BID,42
2020-01-13 09:30:00.005505925,997.25,BID,21
2020-01-13 09:30:00.005505925,997.37,BID,34
2020-01-13 09:30:00.005505925,997.44,BID,26
2020-01-13 09:30:00.005505925,997.75,BID,20
2020-01-13 09:30:00.005505925,997.86,BID,39
2020-01-13 09:30:00.005505925,997.89,BID,28
2020-01-13 09:30:00.005505925,997.91,BID,2280
2020-01-13 09:30:00.005505925,998.52,BID,46
2020-01-13 09:30:00.005505925,998.59,BID,186
2020-01-13 09:30:00.005505925,999.45,ASK,38
